Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income,Wage_Ratio,Emp_Ratio
2001,Large (1000+),Female,14.0,32.0,0.0,181500,109300,130,2287300,0.9256950908575823,0.036827195467422094
2001,Large (1000+),Female,14.0,37.0,0.0,157000,80300,60,1964300,0.8849792755451432,0.03208556149732621
2001,Large (1000+),Female,14.0,42.0,0.0,154400,5900,110,1858700,0.9623589106347727,0.08527131782945736
2001,Large (1000+),Female,14.0,47.0,0.0,142900,198100,50,1912900,0.8748685113194603,0.049019607843137254
2001,Large (1000+),Female,14.0,52.0,0.0,184300,192400,60,2404000,1.150514477147643,0.10526315789473684
2001,Large (1000+),Female,16.0,22.0,0.0,204200,48100,3020,2498500,1.0268370869636692,0.1213338690237043
2001,Large (1000+),Female,16.0,27.0,0.0,233000,42900,1060,2838900,0.9821144399086695,0.15429403202328967
2001,Large (1000+),Female,16.0,32.0,0.0,288600,92100,440,3555300,0.9573986804901037,0.16356877323420074
2001,Large (1000+),Female,16.0,37.0,0.0,375800,891300,380,5400900,1.1372470573371796,0.40425531914893614
2001,Large (1000+),Female,16.0,42.0,0.0,713800,0,100,8565600,1.8801115037643494,0.19607843137254902
2001,Large (1000+),Female,16.0,47.0,0.0,601400,0,30,7216800,2.2217159745097437,0.075
2001,Large (1000+),Male,9.0,18.5,0.0,181100,0,160,2173200,0.9943719972546328,0.8
2001,Large (1000+),Male,9.0,22.0,0.0,225700,24200,360,2732600,1.3327805686972638,0.2517482517482518
2001,Large (1000+),Male,9.0,27.0,0.0,224300,88700,190,2780300,1.0999327451833683,0.475
2001,Large (1000+),Male,9.0,32.0,0.0,224800,30400,230,2728000,0.942737671493244,0.5897435897435898
2001,Large (1000+),Male,9.0,37.0,0.0,227800,49300,200,2782900,0.982003599280144,0.7692307692307693
2001,Large (1000+),Male,9.0,42.0,0.0,183000,0,60,2196000,0.7495136352776546,0.15
2001,Large (1000+),Male,9.0,47.0,0.0,240400,27200,190,2912000,1.035230544989157,0.76
2001,Large (1000+),Male,9.0,52.0,0.0,301200,34600,80,3649000,1.1244992295839753,0.18604651162790697
2001,Large (1000+),Male,9.0,57.0,0.0,368300,62800,50,4482400,1.0288521128376982,0.17857142857142858
2001,Large (1000+),Male,9.0,62.0,0.0,182300,307000,200,2494600,1.172494829855236,0.45454545454545453
2001,Large (1000+),Male,9.0,65.0,0.0,177800,0,10,2133600,1.1784589892294945,0.125
2001,Large (1000+),Male,12.0,18.5,0.0,171000,30900,8160,2082900,1.0143170197224252,0.6252873563218391
2001,Large (1000+),Male,12.0,22.0,0.0,189100,65300,3490,2334500,1.0211267605633803,0.3789359391965255
2001,Large (1000+),Male,12.0,27.0,0.0,212900,70100,2530,2624900,1.0082197042442866,0.25869120654396727
2001,Large (1000+),Male,12.0,32.0,0.0,219300,87800,1310,2719400,0.9473280847209643,0.3075117370892019
2001,Large (1000+),Male,12.0,37.0,0.0,239800,17100,1150,2894700,0.8754309562692796,0.2911392405063291
2001,Large (1000+),Male,12.0,42.0,0.0,270500,15500,760,3261500,1.0612371066931312,0.4293785310734463
2001,Large (1000+),Male,12.0,47.0,0.0,233100,95700,760,2892900,0.894831266045965,0.3671497584541063
2001,Large (1000+),Male,12.0,52.0,0.0,220900,187500,570,2838300,0.884867190422746,0.20357142857142857
2001,Large (1000+),Male,12.0,57.0,0.0,457600,301500,290,5792700,1.3972454049881808,0.12393162393162394
2001,Large (1000+),Male,12.0,62.0,0.0,176600,661100,220,2780300,0.8434864389296766,0.1073170731707317
2001,Large (1000+),Male,12.0,65.0,0.0,164000,57900,50,2025900,0.6383803371671656,0.25
2001,Large (1000+),Male,14.0,22.0,0.0,180700,26600,1520,2195000,0.9784692194534838,0.19714656290531776
2001,Large (1000+),Male,14.0,27.0,0.0,211400,31900,480,2568700,0.9121156167885803,0.19591836734693877
2001,Large (1000+),Male,14.0,32.0,0.0,261600,88700,530,3227900,0.9063570505980794,0.3136094674556213
2001,Large (1000+),Male,14.0,37.0,0.0,233400,54500,40,2855300,0.859900617376901,0.11764705882352941
2001,Large (1000+),Male,14.0,42.0,0.0,223800,100,50,2685700,0.7987449440875565,0.15151515151515152
2001,Large (1000+),Male,14.0,52.0,0.0,236100,47800,30,2881000,1.1576324988950055,0.25
2001,Large (1000+),Male,14.0,57.0,0.0,276800,0,30,3321600,0.9185586681784242,0.2727272727272727
2001,Large (1000+),Male,16.0,22.0,0.0,217000,67600,9290,2671600,1.0157016309926625,0.21435163820950623
2001,Large (1000+),Male,16.0,27.0,0.0,237700,90000,5600,2942400,0.9278799154867396,0.2603440260344026
2001,Large (1000+),Male,16.0,32.0,0.0,317800,148200,1470,3961800,0.8458697183850374,0.18444165621079048
2001,Large (1000+),Male,16.0,37.0,0.0,391600,808100,910,5507300,1.019379557990597,0.19782608695652174
2001,Large (1000+),Male,16.0,42.0,0.0,389000,108700,470,4776700,0.8335281902734395,0.2554347826086957
2001,Large (1000+),Male,16.0,47.0,0.0,499600,524300,250,6519500,1.0850100687336695,0.09803921568627451
2001,Large (1000+),Male,16.0,52.0,0.0,593700,573100,260,7697500,1.344330148972214,0.10612244897959183
2001,Large (1000+),Male,16.0,57.0,0.0,882100,1145000,330,11730200,1.6881872085660008,0.22602739726027396
2001,Large (1000+),Male,16.0,62.0,0.0,626200,1449800,50,8964200,1.382212353902612,0.03731343283582089
2001,Large (1000+),Male,16.0,65.0,0.0,218800,80800,40,2706400,0.46400466336345086,0.4444444444444444
2001,Medium (100-999),Female,9.0,17.0,0.0,109500,2800,130,1316800,0.9965188436506736,0.9285714285714286
2001,Medium (100-999),Female,9.0,18.5,0.0,162100,0,10,1945200,1.1512784090909092,0.037037037037037035
2001,Medium (100-999),Female,9.0,22.0,0.0,131800,10000,270,1591600,0.9342568678093449,0.42857142857142855
2001,Medium (100-999),Female,9.0,27.0,0.0,154000,4000,130,1852000,1.080324330630578,0.41935483870967744
2001,Medium (100-999),Female,9.0,32.0,0.0,140800,1000,320,1690600,0.9529875986471251,0.7441860465116279
2001,Medium (100-999),Female,9.0,37.0,0.0,143200,26500,340,1744900,0.8925776254539874,0.5483870967741935
2001,Medium (100-999),Female,9.0,42.0,0.0,131500,10500,130,1588500,0.8397208859755775,0.24074074074074073
2001,Medium (100-999),Female,9.0,47.0,0.0,138500,12200,700,1674200,0.9285635052689961,0.44871794871794873
2001,Medium (100-999),Female,9.0,52.0,0.0,133800,17000,610,1622600,0.9463431704187566,0.3505747126436782
2001,Medium (100-999),Female,9.0,57.0,0.0,132200,13000,240,1599400,0.9385048703203849,0.1188118811881188
2001,Medium (100-999),Female,9.0,62.0,0.0,145400,54000,170,1798800,1.0472142981894395,0.20238095238095238
2001,Medium (100-999),Female,9.0,65.0,0.0,128800,100000,10,1645600,0.7695113397241057,0.07692307692307693
2001,Medium (100-999),Female,12.0,18.5,0.0,154600,7600,11850,1862800,0.9836827374980197,0.35585585585585583
2001,Medium (100-999),Female,12.0,22.0,0.0,149100,29100,5190,1818300,0.8785755701584848,0.22995126273814798
2001,Medium (100-999),Female,12.0,27.0,0.0,158300,27100,3070,1926700,0.7784331946183992,0.1941808981657179
2001,Medium (100-999),Female,12.0,32.0,0.0,171600,42900,2020,2102100,0.92992700729927,0.20910973084886128
2001,Medium (100-999),Female,12.0,37.0,0.0,153100,35900,1890,1873100,0.8495940490769719,0.23247232472324722
2001,Medium (100-999),Female,12.0,42.0,0.0,150000,30200,2400,1830200,0.8412778671569754,0.32
2001,Medium (100-999),Female,12.0,47.0,0.0,153400,38700,2330,1879500,0.8330747750542973,0.304177545691906
2001,Medium (100-999),Female,12.0,52.0,0.0,163200,26000,1310,1984400,0.9450873934371576,0.21510673234811165
2001,Medium (100-999),Female,12.0,57.0,0.0,151400,49400,390,1866200,0.8346527125542287,0.10833333333333334
2001,Medium (100-999),Female,12.0,62.0,0.0,130300,122100,50,1685700,0.828313105007125,0.05434782608695652
2001,Medium (100-999),Female,12.0,65.0,0.0,144900,0,50,1738800,1.1161894980100142,0.23809523809523808
2001,Medium (100-999),Female,14.0,22.0,0.0,174200,31500,6450,2121900,0.9379392653494232,0.12871682298942327
2001,Medium (100-999),Female,14.0,27.0,0.0,174500,41500,1470,2135500,0.8263039777124284,0.08076923076923077
2001,Medium (100-999),Female,14.0,32.0,0.0,165700,28700,790,2017100,0.716859762598621,0.08404255319148936
2001,Medium (100-999),Female,14.0,37.0,0.0,165800,19700,690,2009300,0.7757615536079688,0.138
2001,Medium (100-999),Female,14.0,42.0,0.0,147400,22600,740,1791400,0.6864390542974288,0.16481069042316257
2001,Medium (100-999),Female,14.0,47.0,0.0,159200,60900,460,1971300,0.8054341164453525,0.13813813813813813
2001,Medium (100-999),Female,14.0,52.0,0.0,115800,27900,470,1417500,0.5893725832605713,0.281437125748503
2001,Medium (100-999),Female,14.0,57.0,0.0,138700,0,20,1664400,0.6249624511865425,0.06451612903225806
2001,Medium (100-999),Female,16.0,22.0,0.0,199400,34400,4220,2427200,0.9874694873881205,0.13482428115015974
2001,Medium (100-999),Female,16.0,27.0,0.0,227900,41000,1880,2775800,0.9427387583208803,0.13583815028901733
2001,Medium (100-999),Female,16.0,32.0,0.0,269100,33100,200,3262300,0.7235406316536551,0.0380952380952381
2001,Medium (100-999),Female,16.0,37.0,0.0,209100,67900,110,2577100,0.5672183827089845,0.06790123456790123
2001,Medium (100-999),Female,16.0,47.0,0.0,160500,16600,200,1942600,0.37906609167365896,0.3448275862068966
2001,Medium (100-999),Female,16.0,52.0,0.0,155700,17000,50,1885400,0.38725711703569815,0.15151515151515152
2001,Medium (100-999),Male,9.0,17.0,0.0,138800,9800,120,1675400,0.9456454252977367,0.2926829268292683
2001,Medium (100-999),Male,9.0,18.5,0.0,135000,23500,120,1643500,0.7777304561802006,0.16
2001,Medium (100-999),Male,9.0,22.0,0.0,193600,87600,650,2410800,1.0098437565450509,0.40625
2001,Medium (100-999),Male,9.0,27.0,0.0,209300,17700,280,2529300,0.9514369545591334,0.19444444444444445
2001,Medium (100-999),Male,9.0,32.0,0.0,225700,24400,100,2732800,1.0052972336668629,0.07246376811594203
2001,Medium (100-999),Male,9.0,37.0,0.0,227300,10400,160,2738000,0.9853528628495339,0.2962962962962963
2001,Medium (100-999),Male,9.0,42.0,0.0,255600,70500,100,3137700,1.1889730958696476,0.11904761904761904
2001,Medium (100-999),Male,9.0,47.0,0.0,183400,22000,390,2222800,0.8669943053280287,0.20967741935483872
2001,Medium (100-999),Male,9.0,52.0,0.0,247400,54700,720,3023500,1.0156879871002418,0.21238938053097345
2001,Medium (100-999),Male,9.0,57.0,0.0,210600,81700,360,2608900,0.919987305169617,0.12631578947368421
2001,Medium (100-999),Male,9.0,62.0,0.0,175100,609800,720,2711000,1.0406510306706076,0.3
2001,Medium (100-999),Male,9.0,65.0,0.0,195500,5700,80,2351700,1.2616416309012874,0.12698412698412698
2001,Medium (100-999),Male,12.0,18.5,0.0,168400,14900,20510,2035700,1.0040939133866036,0.6336113685511275
2001,Medium (100-999),Male,12.0,22.0,0.0,190200,42500,7720,2324900,0.9773004329732229,0.30659253375694995
2001,Medium (100-999),Male,12.0,27.0,0.0,211700,52500,7620,2592900,0.9502675364655867,0.3096302316131654
2001,Medium (100-999),Male,12.0,32.0,0.0,228600,49400,5090,2792600,0.9178032668353765,0.32052896725440805
2001,Medium (100-999),Male,12.0,37.0,0.0,229800,61100,3860,2818700,0.930786249711059,0.34774774774774775
2001,Medium (100-999),Male,12.0,42.0,0.0,246300,29500,2140,2985100,1.0002680695640518,0.2562874251497006
2001,Medium (100-999),Male,12.0,47.0,0.0,245100,41600,2050,2982800,0.9212712728171233,0.22066738428417654
2001,Medium (100-999),Male,12.0,52.0,0.0,258300,119300,2550,3218900,1.0153618068260677,0.18916913946587538
2001,Medium (100-999),Male,12.0,57.0,0.0,299000,167700,1960,3755700,1.1375049217069995,0.1583198707592892
2001,Medium (100-999),Male,12.0,62.0,0.0,193400,179200,910,2500000,0.8691419830343485,0.19444444444444445
2001,Medium (100-999),Male,12.0,65.0,0.0,203700,69200,190,2513600,0.955196655899677,0.2159090909090909
2001,Medium (100-999),Male,14.0,22.0,0.0,191600,19700,5610,2318900,1.0108544027898867,0.2389267461669506
2001,Medium (100-999),Male,14.0,27.0,0.0,210000,60900,1340,2580900,0.969643460946012,0.13440320962888666
2001,Medium (100-999),Male,14.0,32.0,0.0,248700,109600,1530,3094000,0.9531437725270324,0.3304535637149028
2001,Medium (100-999),Male,14.0,37.0,0.0,267000,195600,460,3399600,0.9033560970424893,0.25136612021857924
2001,Medium (100-999),Male,14.0,42.0,0.0,310600,357200,200,4084400,1.0529789373275928,0.18181818181818182
2001,Medium (100-999),Male,14.0,47.0,0.0,285100,4500,300,3425700,1.1136504014823965,0.2112676056338028
2001,Medium (100-999),Male,14.0,52.0,0.0,354100,127500,360,4376700,1.1433385579937303,0.3076923076923077
2001,Medium (100-999),Male,14.0,57.0,0.0,439700,0,100,5276400,1.2215868311995,0.14925373134328357
2001,Medium (100-999),Male,14.0,62.0,0.0,764000,0,10,9168000,2.4491104343644814,0.02564102564102564
2001,Medium (100-999),Male,16.0,22.0,0.0,210200,14900,13170,2537300,0.9948635508155583,0.22322033898305085
2001,Medium (100-999),Male,16.0,27.0,0.0,234500,109500,6750,2923500,0.8979084124205289,0.20943220601923673
2001,Medium (100-999),Male,16.0,32.0,0.0,263600,73400,3220,3236600,0.7922357663876243,0.23299565846599132
2001,Medium (100-999),Male,16.0,37.0,0.0,301600,201400,1830,3820600,0.7460797906617977,0.23735408560311283
2001,Medium (100-999),Male,16.0,42.0,0.0,333800,93600,1440,4099200,0.6660384102947389,0.2222222222222222
2001,Medium (100-999),Male,16.0,47.0,0.0,355400,179800,890,4444600,0.8858725982619788,0.2119047619047619
2001,Medium (100-999),Male,16.0,52.0,0.0,408700,365900,720,5270300,0.8352297939778129,0.1935483870967742
2001,Medium (100-999),Male,16.0,57.0,0.0,455700,198600,520,5667000,0.9779626210157558,0.13720316622691292
2001,Medium (100-999),Male,16.0,62.0,0.0,233000,329800,250,3125800,0.7320717598013958,0.1141552511415525
2001,Small (10-99),Female,9.0,17.0,0.0,130200,7200,400,1569600,1.0475173518419647,0.5633802816901409
2001,Small (10-99),Female,9.0,18.5,0.0,137900,5400,70,1660200,0.9170349094122846,0.3684210526315789
2001,Small (10-99),Female,9.0,22.0,0.0,125000,15100,360,1515100,0.8432212822796082,0.3673469387755102
2001,Small (10-99),Female,9.0,27.0,0.0,127200,8500,570,1534900,0.8527695983110173,0.48717948717948717
2001,Small (10-99),Female,9.0,32.0,0.0,130300,1300,490,1564900,0.8958667277307076,0.5903614457831325
2001,Small (10-99),Female,9.0,37.0,0.0,126100,6200,390,1519400,0.8355697316322042,0.41935483870967744
2001,Small (10-99),Female,9.0,42.0,0.0,138500,15200,540,1677200,0.90152655342937,0.5346534653465347
2001,Small (10-99),Female,9.0,47.0,0.0,134300,21200,970,1632800,0.9101956630804393,0.45539906103286387
2001,Small (10-99),Female,9.0,52.0,0.0,131700,26500,1540,1606900,0.8868101545253864,0.4624624624624625
2001,Small (10-99),Female,9.0,57.0,0.0,127500,12800,980,1542800,0.9031200608792367,0.39357429718875503
2001,Small (10-99),Female,9.0,62.0,0.0,134300,20600,590,1632200,0.8830339753300152,0.34705882352941175
2001,Small (10-99),Female,9.0,65.0,0.0,126300,25700,100,1541300,0.8216322831707447,0.11363636363636363
2001,Small (10-99),Female,12.0,18.5,0.0,152000,12600,7200,1836600,1.023061497326203,0.30012505210504375
2001,Small (10-99),Female,12.0,22.0,0.0,153400,25900,6180,1866700,0.9395037495596155,0.2386100386100386
2001,Small (10-99),Female,12.0,27.0,0.0,155600,30000,4390,1897200,0.8963431919115563,0.26022525192649676
2001,Small (10-99),Female,12.0,32.0,0.0,147400,25300,3960,1794100,0.8932092004381161,0.2668463611859838
2001,Small (10-99),Female,12.0,37.0,0.0,151600,18200,4350,1837400,0.8581971041569361,0.3305471124620061
2001,Small (10-99),Female,12.0,42.0,0.0,155600,49700,4820,1916900,0.9353925730737325,0.43189964157706096
2001,Small (10-99),Female,12.0,47.0,0.0,142600,32400,3430,1743600,0.8495006090133983,0.3558091286307054
2001,Small (10-99),Female,12.0,52.0,0.0,149300,20700,3340,1812300,0.9238886623164764,0.32906403940886697
2001,Small (10-99),Female,12.0,57.0,0.0,120400,39100,2360,1483900,0.7769516728624535,0.4645669291338583
2001,Small (10-99),Female,12.0,62.0,0.0,122000,66300,810,1530300,0.8552506566813838,0.39705882352941174
2001,Small (10-99),Female,12.0,65.0,0.0,107700,11100,40,1303500,0.6911819290524418,0.05128205128205128
2001,Small (10-99),Female,14.0,22.0,0.0,170900,18500,4530,2069300,0.9915664382577029,0.09218559218559219
2001,Small (10-99),Female,14.0,27.0,0.0,173800,36500,1350,2122100,0.9080833582951774,0.08221680876979294
2001,Small (10-99),Female,14.0,32.0,0.0,171500,19900,660,2077900,0.872883847931107,0.09705882352941177
2001,Small (10-99),Female,14.0,37.0,0.0,194000,19000,1020,2347000,0.9795492487479132,0.19281663516068054
2001,Small (10-99),Female,14.0,42.0,0.0,162100,5300,470,1950500,0.7759786760025461,0.11662531017369727
2001,Small (10-99),Female,14.0,47.0,0.0,158300,2100,310,1901700,0.7917481993421874,0.1631578947368421
2001,Small (10-99),Female,14.0,52.0,0.0,245100,300,460,2941500,1.0045420394781777,0.21395348837209302
2001,Small (10-99),Female,14.0,57.0,0.0,110500,0,70,1326000,0.6396526772793053,0.1794871794871795
2001,Small (10-99),Female,14.0,62.0,0.0,234100,110000,20,2919200,1.4283896853745657,0.18181818181818182
2001,Small (10-99),Female,16.0,22.0,0.0,185700,13400,1980,2241800,0.966751476993402,0.1206581352833638
2001,Small (10-99),Female,16.0,27.0,0.0,223900,131200,1100,2818000,1.0725431985993759,0.10721247563352826
2001,Small (10-99),Female,16.0,32.0,0.0,229400,48400,590,2801200,0.9777653670285176,0.1638888888888889
2001,Small (10-99),Female,16.0,37.0,0.0,256100,40600,200,3113800,0.7846487249269227,0.12658227848101267
2001,Small (10-99),Female,16.0,42.0,0.0,184700,0,150,2216400,0.7717270194986072,0.0872093023255814
2001,Small (10-99),Female,16.0,47.0,0.0,208800,12500,20,2518100,0.8211374160307833,0.02531645569620253
2001,Small (10-99),Female,16.0,52.0,0.0,134400,30000,10,1642800,0.6708318020335661,0.034482758620689655
2001,Small (10-99),Male,9.0,17.0,0.0,155600,65700,1440,1932900,1.0931455717678995,0.3956043956043956
2001,Small (10-99),Male,9.0,18.5,0.0,159400,16900,790,1929700,0.9314572573249023,0.398989898989899
2001,Small (10-99),Male,9.0,22.0,0.0,175100,29200,790,2130400,0.8930248155600268,0.15221579961464354
2001,Small (10-99),Male,9.0,27.0,0.0,196900,22900,1080,2385700,0.8816008277595063,0.23529411764705882
2001,Small (10-99),Male,9.0,32.0,0.0,237500,29100,840,2879100,0.9545771028812042,0.268370607028754
2001,Small (10-99),Male,9.0,37.0,0.0,236300,52500,980,2888100,0.9995500796013013,0.3234323432343234
2001,Small (10-99),Male,9.0,42.0,0.0,256500,38900,1190,3116900,1.1317308739697178,0.3082901554404145
2001,Small (10-99),Male,9.0,47.0,0.0,220900,44400,1330,2695200,0.9038229376257545,0.2159090909090909
2001,Small (10-99),Male,9.0,52.0,0.0,234300,25200,2200,2836800,1.0021195421788893,0.26066350710900477
2001,Small (10-99),Male,9.0,57.0,0.0,238500,36200,2070,2898200,1.0767973249117593,0.2915492957746479
2001,Small (10-99),Male,9.0,62.0,0.0,187200,125400,1390,2371800,0.946259724715739,0.19119669876203577
2001,Small (10-99),Male,9.0,65.0,0.0,157000,55700,380,1939700,0.7687765050929413,0.08444444444444445
2001,Small (10-99),Male,12.0,18.5,0.0,163500,7600,13590,1969600,0.9717781724886521,0.4624021776114325
2001,Small (10-99),Male,12.0,22.0,0.0,184400,26100,13650,2238900,0.9757681412072347,0.2949438202247191
2001,Small (10-99),Male,12.0,27.0,0.0,203400,35800,11540,2476600,0.9240699973881572,0.2525716787043117
2001,Small (10-99),Male,12.0,32.0,0.0,228600,43200,8700,2786400,0.9603639622251327,0.27983274364747507
2001,Small (10-99),Male,12.0,37.0,0.0,239500,39300,7480,2913300,0.934978657851664,0.32995147772386413
2001,Small (10-99),Male,12.0,42.0,0.0,250000,31700,5660,3031700,0.9696785542939389,0.303485254691689
2001,Small (10-99),Male,12.0,47.0,0.0,244100,37700,4960,2966900,0.9618427024573689,0.2636895268474216
2001,Small (10-99),Male,12.0,52.0,0.0,254300,73600,5300,3125200,0.9926311777410748,0.2367128182224207
2001,Small (10-99),Male,12.0,57.0,0.0,264000,61100,3750,3229100,0.945591378956924,0.23629489603024575
2001,Small (10-99),Male,12.0,62.0,0.0,222000,68000,1640,2732000,0.9506576658083374,0.17484008528784648
2001,Small (10-99),Male,12.0,65.0,0.0,166400,51200,240,2048000,0.9151845562606131,0.09486166007905138
2001,Small (10-99),Male,14.0,22.0,0.0,186500,15400,4510,2253400,0.99290592641551,0.21435361216730037
2001,Small (10-99),Male,14.0,27.0,0.0,211900,34000,2220,2576800,0.989972722732337,0.20631970260223048
2001,Small (10-99),Male,14.0,32.0,0.0,237200,16600,830,2863000,0.9149595730401713,0.13810316139767054
2001,Small (10-99),Male,14.0,37.0,0.0,242300,22500,910,2930100,0.8703439672072715,0.2017738359201774
2001,Small (10-99),Male,14.0,42.0,0.0,243000,61300,560,2977300,0.7534225776248197,0.30601092896174864
2001,Small (10-99),Male,14.0,47.0,0.0,296200,60700,540,3615100,1.1067536125397992,0.3176470588235294
2001,Small (10-99),Male,14.0,52.0,0.0,290600,125700,380,3612900,0.9266459770704558,0.2389937106918239
2001,Small (10-99),Male,14.0,57.0,0.0,368300,259200,380,4678800,1.2660803680151536,0.3917525773195876
2001,Small (10-99),Male,14.0,62.0,0.0,366400,315200,60,4712000,1.399673251151047,0.06315789473684211
2001,Small (10-99),Male,14.0,65.0,0.0,237500,0,10,2850000,1.7101710171017102,0.1
2001,Small (10-99),Male,16.0,22.0,0.0,201300,17200,4800,2432800,0.9946847657208275,0.20824295010845986
2001,Small (10-99),Male,16.0,27.0,0.0,229200,34600,5250,2785000,0.9735379452581536,0.2615844544095665
2001,Small (10-99),Male,16.0,32.0,0.0,260300,37400,3040,3161000,0.9220313274800922,0.27915518824609736
2001,Small (10-99),Male,16.0,37.0,0.0,286500,51200,2280,3489200,0.8136178150868602,0.24101479915433405
2001,Small (10-99),Male,16.0,42.0,0.0,272300,54700,2080,3322300,0.7393403952287698,0.2447058823529412
2001,Small (10-99),Male,16.0,47.0,0.0,326100,93700,1090,4006900,0.9039411645272633,0.2411504424778761
2001,Small (10-99),Male,16.0,52.0,0.0,354800,32000,1490,4289600,0.8068162582052777,0.29273084479371314
2001,Small (10-99),Male,16.0,57.0,0.0,406100,204400,1000,5077600,0.9806102742371572,0.23201856148491878
2001,Small (10-99),Male,16.0,62.0,0.0,303500,110400,410,3752400,1.025105859855211,0.1626984126984127
2001,Small (10-99),Male,16.0,65.0,0.0,180300,530700,80,2694300,0.7673882084876104,0.0975609756097561
2002,Large (1000+),Female,9.0,22.0,0.0,216000,40000,30,2632000,1.311671484102462,0.061224489795918366
2002,Large (1000+),Female,9.0,27.0,0.0,179300,379400,10,2531000,1.3449888404718886,0.02857142857142857
2002,Large (1000+),Female,9.0,32.0,0.0,192900,517500,80,2832300,1.490370448326668,0.20512820512820512
2002,Large (1000+),Female,9.0,42.0,0.0,136000,0,90,1632000,0.8025177025963808,0.24324324324324326
2002,Large (1000+),Female,9.0,47.0,0.0,174700,136000,70,2232400,1.2063114665513888,0.3181818181818182
2002,Large (1000+),Female,9.0,52.0,0.0,207900,259900,70,2754700,1.5564156167015086,0.21875
2002,Large (1000+),Female,9.0,57.0,0.0,101500,0,120,1218000,0.830322448701343,0.46153846153846156
2002,Large (1000+),Female,12.0,18.5,0.0,160000,17000,3270,1937000,1.0182410765914944,0.3224852071005917
2002,Large (1000+),Female,12.0,22.0,0.0,171000,119000,490,2171000,0.9833763645422838,0.04470802919708029
2002,Large (1000+),Female,12.0,27.0,0.0,192700,46400,440,2358800,1.1940268286509745,0.05146198830409357
2002,Large (1000+),Female,12.0,32.0,0.0,174400,95900,300,2188700,1.0934752198241406,0.035211267605633804
2002,Large (1000+),Female,12.0,37.0,0.0,135800,60400,340,1690000,0.9168836805555556,0.04533333333333334
2002,Large (1000+),Female,12.0,42.0,0.0,159200,128200,330,2038600,1.1253035990284832,0.05749128919860627
2002,Large (1000+),Female,12.0,47.0,0.0,186400,210600,370,2447400,1.2579152960526316,0.0883054892601432
2002,Large (1000+),Female,12.0,52.0,0.0,156700,162300,180,2042700,0.8925544000699117,0.04904632152588556
2002,Large (1000+),Female,12.0,57.0,0.0,131600,32600,170,1611800,0.6912256625782657,0.16037735849056603
2002,Large (1000+),Female,12.0,62.0,0.0,182500,694600,40,2884600,1.2190339348349744,0.5
2002,Large (1000+),Female,14.0,22.0,0.0,182800,26700,1290,2220300,0.94929240241139,0.05586834127327848
